cpc	description	4char	3char
H04M2203/105	. . Financial transactions and auctions, e.g. bidding (auctioneering devices in packet switching networks H04L12/1804)	H04M	H04
H04N1/23	. Reproducing arrangements	H04N	H04
H05K2201/0275	. . Fibers and reinforcement materials	H05K	H05
H01P1/00	Auxiliary devices (coupling devices of the waveguide type H01P5/00)	H01P	H01
H01J2237/045	. . Diaphragms	H01J	H01
H05K2203/0756	. . Uses of liquids, e.g. rinsing, coating, dissolving	H05K	H05
H01H2209/038	. . transparent	H01H	H01
H04B10/035	. . using loopbacks	H04B	H04
H05K2203/0182	. . Using a temporary spacer element or stand-off during processing	H05K	H05
H03G3/02	. Manually-operated control {(H03G3/001 and H03G3/002 take precedence)}	H03G	H03
H01R43/14	. Maintenance of current collectors, e.g. reshaping of brushes, cleaning of commutators	H01R	H01
H05B6/34	. . Arrangements for circulation of melts	H05B	H05
H03H5/00	One-port networks comprising only passive electrical elements as network components	H03H	H03
H01J3/26	. Arrangements for deflecting ray or beam {(H01J29/46 - H01J29/84 and H01J37/147 take precedence)}	H01J	H01
H03B2201/036	. . the parameter being the quality factor of a resonator	H03B	H03
H03F2203/30031	. . A resistor being coupled as feedback circuit in the SEPP amplifier	H03F	H03
H03F2203/30111	. . A resistor being added in the push stage of the SEPP amplifier	H03F	H03
H03F2203/30114	. . the push transistor circuit comprising one or more capacitors	H03F	H03
H03F3/28	. . with tubes only	H03F	H03
H01J2209/383	. . Vacuum pumps	H01J	H01
H01H17/02	. Details	H01H	H01
H01J2893/0058	. . Grids; Auxiliary internal or external electrodes	H01J	H01
H03F2200/481	. A resistor being used as sensor	H03F	H03
H01J25/34	. Travelling-wave tubes; Tubes in which a travelling wave is simulated at spaced gaps	H01J	H01
H04Q2213/098	. Mobile subscriber	H04Q	H04
H01H2223/032	. . with formations for assembling similar housings	H01H	H01
H04R19/06	. Gramophone pick-ups using a stylus; Recorders using a stylus (H04R19/01 takes precedence)	H04R	H04
H01H2203/04	. . to facilitate connections	H01H	H01
H01H2203/024	. Convex contact surface	H01H	H01
H01F30/02	. Auto-transformers	H01F	H01
H01H2207/034	. sealed	H01H	H01
H01H2300/022	. Application wake up; switches or contacts specially provided for the wake up or standby shift of a circuit	H01H	H01
H05K2201/09818	. . Shape or layout details not covered by a single group of H05K2201/09009 - H05K2201/09809	H05K	H05
H03K2217/94052	. . with evaluation of actuation pattern or sequence, e.g. tapping	H03K	H03
H04B2210/256	. . at the repeater, i.e. repeater compensation	H04B	H04
H01K3/10	. . Machines therefor	H01K	H01
H05H1/04	. . using magnetic fields substantially generated by the discharge in the plasma	H05H	H05
H04J3/18	. using frequency compression and subsequent expansion of the individual signals	H04J	H04
H05K2203/165	. . Stabilizing, e.g. temperature stabilization	H05K	H05
H01T1/08	. . using flow of arc-extinguishing fluid	H01T	H01
H01H2209/052	. . elastomeric	H01H	H01
H02P5/60	. controlling combinations of dc and ac dynamo-electric motors (H02P5/46 takes precedence)	H02P	H02
H03K23/66	. . with a variable counting base, e.g. by presetting or by adding or suppressing pulses	H03K	H03
H01H2203/004	. Rivet	H01H	H01
H04M3/24	. . with provision for checking the normal operation	H04M	H04
H01L2924/0675	. . Polyester	H01L	H01
H02P9/26	. . using discharge tubes or semiconductor devices (H02P9/34 takes precedence)	H02P	H02
H03F2200/399	. A parallel resonance being added in shunt in the output circuit, e.g. base, gate, of an amplifier stage	H03F	H03
H03G5/14	. . in frequency-selective amplifiers	H03G	H03
H04Q5/20	. . the subordinate centre permitting interconnection of subscribers connected thereto	H04Q	H04
H04Q5/24	. for two-party-line systems	H04Q	H04
H01H61/013	. . Heating arrangements for operating relays	H01H	H01
H03D2200/0031	. . PLL circuits with quadrature locking, e.g. a Costas loop	H03D	H03
H01H55/00	Magnetostrictive relays	H01H	H01
H01L2924/01021	. . Scandium [Sc]	H01L	H01
H01L2924/01071	. . Lutetium [Lu]	H01L	H01
H01K3/06	. Attaching of incandescent bodies to mount	H01K	H01
H03F2203/45018	. . the differential amplifier amplifying transistors have added cross couplings	H03F	H03
H01H2225/008	. Two different sites for one circuit, e.g. for safety	H01H	H01
H03J2200/39	. Variable capacitors implemented using microelectro-mechanical systems [MEMS]	H03J	H03
H01J35/22	. specially designed for passing a very high current for a very short time, e.g. for flash operation	H01J	H01
H03F3/34	. Dc amplifiers in which all stages are dc-coupled (H03F3/45 takes precedence)	H03F	H03
H01H83/06	. operated by current falling below a predetermined value	H01H	H01
H01H2233/038	. . One degree of freedom	H01H	H01
H01H1/14	. . by abutting	H01H	H01
H02K44/18	. . for generating AC power	H02K	H02
H02P9/40	. by variation of reluctance of magnetic circuit of generator	H02P	H02
H01H2219/01	. . Liquid crystal	H01H	H01
H01H2221/06	. to avoid sticking in on position	H01H	H01
H05B41/00	Circuit arrangements or apparatus for igniting or operating discharge lamps (structurally associated with the discharge lamps H01J61/54, H01J61/56)	H05B	H05
H03F2203/45456	. . the CSC comprising bias stabilisation means, e.g. DC-level stability, positive or negative temperature coefficient dependent control	H03F	H03
H05B41/46	. . Circuits providing for substitution in case of failure of the lamp	H05B	H05
H01L2924/062	. . Halogenated polymer	H01L	H01
H04J3/20	. using resonant transfer	H04J	H04
H03H11/40	. . Impedance converters	H03H	H03
H01H83/22	. . the other condition being unbalance of two or more currents or voltages	H01H	H01
H01H2219/004	. . Magnet	H01H	H01
H01J2235/1026	. . Means (motors) for driving the target (anode)	H01J	H01
H05B39/09	. in which the lamp is fed by pulses {(automatic circuit devices built into or on the incandescent lamp H01K1/625; vehicle winking devices B60Q 1/38)}	H05B	H05
H01F29/06	. with current collector gliding or rolling on or along winding	H01F	H01
H04M2203/257	. . remote control of substation user interface for telephonic services, e.g. by ISDN stimulus, ADSI, wireless telephony application WTA, MExE or BREW	H04M	H04
H02K13/08	. . Segments formed by extensions of the winding	H02K	H02
H02K23/68	. Structural association with auxiliary mechanical devices, e.g. with clutches or brakes	H02K	H02
H01J29/06	. . Screens for shielding; Masks interposed in the electron stream	H01J	H01
H01J11/16	. . with main electrodes provided inside or on the side face of the spacers	H01J	H01
H04Q2209/20	. using a distributed architecture	H04Q	H04
H03H7/34	. . with lumped and distributed reactance	H03H	H03
H02M1/06	. Circuits specially adapted for rendering non-conductive gas discharge tubes or equivalent semiconductor devices, e.g. thyratrons, thyristors	H02M	H02
H04B2201/698	. . relating to Uplink	H04B	H04
H04W92/00	Interfaces specially adapted for wireless communication networks	H04W	H04
H01J2209/385	. . Gettering	H01J	H01
H01J29/94	. Selection of substances for gas fillings; Means for obtaining or maintaining the desired pressure within the tube, e.g. by gettering {(exhausting, degassing, gettering of electric discharge tubes in general H01J9/38)}	H01J	H01
H01J17/20	. . Selection of substances for gas fillings; Specified operating pressures or temperatures	H01J	H01
H04Q1/10	. . Exchange station construction	H04Q	H04
H01J61/84	. Lamps with discharge constricted by high pressure	H01J	H01
H01S2303/00	Pumping wavelength	H01S	H01
H01H2223/054	. Mounting of key housings on same printed circuit	H01H	H01
H03D3/26	. by means of sloping amplitude/frequency characteristic of tuned or reactive circuit (H03D3/28 - H03D3/32 takes precedence)	H03D	H03
H03D2200/0039	. . Exclusive OR logic circuits	H03D	H03
H02M3/16	. . by dynamic converters	H02M	H02
H04N1/203	. . Simultaneous scanning of two or more separate pictures {, e.g. two sides of the same sheet (refeeding a sheet for double-sided scanning H04N1/00572)}	H04N	H04
H01H51/20	. . with two or more independent armatures	H01H	H01
H04M2201/30	. PCM	H04M	H04
H01H77/06	. . with electromagnetic opening {(combined with electromagnetic release mechanism H01H71/2409)}	H01H	H01
H01H3/58	. . using friction, toothed, or other mechanical clutch	H01H	H01
H01J29/56	. . Arrangements for controlling cross-section of ray or beam; Arrangements for correcting aberration of beam, e.g. due to lenses {(H01J29/467 takes precedence)}	H01J	H01
H02K47/18	. AC/AC converters	H02K	H02
H01L2924/01077	. . Iridium [Ir]	H01L	H01
H01J11/54	. . Means for exhausting the gas	H01J	H01
H04M3/10	. . Providing fault- or trouble-signals	H04M	H04
H03K19/14	. . using opto-electronic devices, i.e. light-emitting and photoelectric devices electrically- or optically-coupled (optical logic elements G02F 3/00)	H03K	H03
H04H2201/12	. . digital radio mondiale [DRM]	H04H	H04
H03J1/02	. Indicating arrangements {(indicating correct tuning H03J3/12)}	H03J	H03
H02K19/22	. . having windings each turn of which co-operates alternately with poles of opposite polarity, e.g. heteropolar generators	H02K	H02
H04N13/385	. . alternating rapidly the location of the left-right image components on the display screens (for viewing without the aid of special glasses using time variant parallax barriers H04N13/315; displays for viewing with the aid of special glasses or head-mounted displays using temporal multiplexing H04N13/341)	H04N	H04
H04M2201/26	. A/D convertors	H04M	H04
H04B2215/065	. . by changing the frequency of clock or reference frequency	H04B	H04
H05B2213/02	. Stirring of melted material in melting furnaces	H05B	H05
H02P2101/35	. for ships	H02P	H02
H03D2200/005	. . Analog to digital conversion	H03D	H03
H04L23/00	Apparatus or local circuits for systems other than those covered by groups H04L15/00 - H04L21/00	H04L	H04
H01H2215/012	. . Positioning of individual dome	H01H	H01
H02M5/00	Conversion of ac power input into ac power output, e.g. for change of voltage, for change of frequency, for change of number of phases	H02M	H02
H02K47/22	. . Single-armature frequency converters with or without phase-number conversion	H02K	H02
H01H2237/008	. Plunger guided by flexible arms	H01H	H01
H03J5/00	Discontinuous tuning; Selecting predetermined frequencies; Selecting frequency bands with or without continuous tuning in one or more of the bands, e.g. push-button tuning, turret tuner (H03J7/00, H03J9/00 take precedence; for bandspreading H03J3/10)	H03J	H03
H03C1/36	. by means of semiconductor device having at least three electrodes (H03C1/34, H03C1/50, H03C1/52, H03C1/62 take precedence)	H03C	H03
H04R17/08	. . signals being recorded or played back by vibration of a stylus in two orthogonal directions simultaneously	H04R	H04
H03J7/00	Automatic frequency control; Automatic scanning over a band of frequencies	H03J	H03
H01J23/36	. Coupling devices having distributed capacitance and inductance, structurally associated with the tube, for introducing or removing wave energy	H01J	H01
H03G2201/508	. . by using look-up tables	H03G	H03
H03B2202/076	. . by using a feedback loop external to the oscillator, e.g. the so-called noise degeneration	H03B	H03
H03F2203/45294	. . the AAC comprising biasing means to stabilise itself	H03F	H03
H03F2203/45554	. . the IC comprising one or more coils	H03F	H03
H01H43/12	. . stopping automatically after a single cycle of operation	H01H	H01
H04Q2213/13012	. Hybrid fiber coax, HFC	H04Q	H04
H01H2203/02	. Interspersed fingers	H01H	H01
H01H2229/022	. Modular assembly	H01H	H01
H01H37/62	. . Means other than thermal means for introducing a predetermined time delay	H01H	H01
H03F2203/45582	. . the IC comprising one or more voltage sources as level shifters	H03F	H03
H02K2205/00	Specific aspects not provided for in the other groups of this subclass relating to casings, enclosures, supports	H02K	H02
H02M7/68	. . by static converters	H02M	H02
H01S2304/02	. MBE	H01S	H01
H01G4/258	. . Temperature compensation means	H01G	H01
H04N3/00	Scanning details of television systems; Combination thereof with generation of supply voltages	H04N	H04
H01J1/13	. . Solid thermionic cathodes	H01J	H01
H01L2924/00013	. . Fully indexed content	H01L	H01
H03F2203/45302	. . the common gate stage of a cascode dif amp being controlled	H03F	H03
H01J25/48	. . Tubes in which two electron streams of different velocities interact with one another, e.g. electron-wave tube	H01J	H01
H01K7/00	Lamps for purposes other than general lighting (H01K9/00 - H01K13/00 take precedence)	H01K	H01
H01J19/00	Details of vacuum tubes of the types covered by group H01J21/00	H01J	H01
H01H2239/06	. Temperature sensitive	H01H	H01
H04B14/08	. characterised by the use of a sub-carrier	H04B	H04
H03F2200/69	. the amplifier stage being a common drain coupled MOSFET, i.e. source follower	H03F	H03
H02H3/12	. responsive to underload or no-load {(for motors H02H7/0827)}	H02H	H02
H03F2203/45214	. . Offset in a differential amplifier being reduced by control of the substrate voltage, the voltage being either fixed or variable	H03F	H03
H01L2224/02	. . Bonding areas; Manufacturing methods related thereto	H01L	H01
H01J2211/62	. . Circuit arrangements (circuits or methods for driving PDPs G09G 3/28)	H01J	H01
H01J2329/20	. . characterised by the luminescent material	H01J	H01
H03K3/357	. . by the use, as active elements, of bulk negative resistance devices, e.g. Gunn-effect devices	H03K	H03
H01J3/20	. . Magnetic lenses {(see provisionally also H01J29/46 - H01J29/84)}	H01J	H01
H01H2211/002	. Fluid or inflatable keyboards	H01H	H01
H01H2221/038	. . Fluid	H01H	H01
H03K21/40	. Monitoring; Error detection; Preventing or correcting improper counter operation	H03K	H03
H01H2209/0021	. . with metallic appearance, e.g. polymers with dispersed particles to produce a metallic appearance	H01H	H01
H01H2229/058	. Curing or vulcanising of rubbers	H01H	H01
H01J7/00	Details not provided for in the preceding groups and common to two or more basic types of discharge tubes or lamps	H01J	H01
H02P9/16	. . due to variation of ohmic resistance in field circuit, using resistances switched in or out of circuit step by step	H02P	H02
H01H2221/04	. . magnetic	H01H	H01
H01J61/76	. . having a filling of permanent gas or gases only	H01J	H01
H05K2203/0191	. . Using tape or non-metallic foil in a process, e.g. during filling of a hole with conductive paste	H05K	H05
H04L13/10	. . Distributors	H04L	H04
H03K99/00	Subject matter not provided for in other groups of this subclass	H03K	H03
H01H2219/058	. . Optical grid, collimator or microlouver	H01H	H01
H03D9/02	. Demodulation using distributed inductance and capacitance, e.g. in feeder lines	H03D	H03
H01J19/82	. Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for	H01J	H01
H01J7/16	. . Means for permitting pumping during operation of the tube or lamp	H01J	H01
H04B2210/516	. Optical conversion of optical modulation formats, e.g., from optical ASK to optical PSK	H04B	H04
H04M1/76	. . Compensating for differences in line impedance	H04M	H04
H02K23/56	. Motors or generators having iron cores separated from armature winding	H02K	H02
H01H2239/048	. comprising microphone or speaker	H01H	H01
H03J3/32	. . Arrangements for ensuring tracking with variable capacitors	H03J	H03
H05K10/00	Arrangements for improving the operating reliability of electronic equipment, e.g. by providing a similar standby unit	H05K	H05
H05B6/16	. . Furnaces having endless cores (H05B6/34 takes precedence)	H05B	H05
H01K3/12	. Joining of mount or stem to vessel; Joining parts of the vessel, e.g. by butt sealing	H01K	H01
H01J5/52	. . directly applied to or forming part of the vessel	H01J	H01
H04M2215/0184	. . involving reduced rates or discounts, e.g. time-of-day reductions, volume discounts, cell discounts, group billing, frequent calling destination(s) or user history list	H04M	H04
H01J9/236	. Manufacture of magnetic deflecting devices for cathode-ray tubes	H01J	H01
H01J2223/11	. . Means for reducing noise	H01J	H01
H03K3/66	. . by interrupting the output of a generator	H03K	H03
H01H2227/02	. Vent opening	H01H	H01
H01H2231/024	. Dispensing machine	H01H	H01
H03B5/00	Generation of oscillations using amplifier with regenerative feedback from output to input (H03B9/00, H03B15/00 take precedence)	H03B	H03
H03G3/14	. . in frequency-selective amplifiers	H03G	H03
H03G5/02	. Manually-operated control (variable bandpass or bandstop filters H03H7/12)	H03G	H03
H01J25/68	. Tubes specially designed to act as oscillator with positive grid and retarding field, e.g. for Barkhausen-Kurz oscillators (with secondary emission H01J25/76)	H01J	H01
H03B2200/0084	. . dedicated to Terahertz frequencies	H03B	H03
H01J2225/76	. Dynamic electron-multiplier tubes, e.g. Farnsworth multiplier tube, multipactor	H01J	H01
H03K4/00	Generating pulses having essentially a finite slope or stepped portions	H03K	H03
H02P17/00	Arrangements for controlling dynamo-electric gears (vector control H02P21/00)	H02P	H02
H01H2219/038	. . ambient light dependent	H01H	H01
H01J2329/862	. . Frames	H01J	H01
H01J2229/8626	. . Frames	H01J	H01
H05K2203/1189	. . Pressing leads, bumps or a die through an insulating layer	H05K	H05
H03J3/30	. . Arrangements for ensuring tracking with variable inductors	H03J	H03
H04N11/06	. Transmission systems characterised by the manner in which the individual colour picture signal components are combined	H04N	H04
H01J43/00	Secondary-emission tubes; Electron-multiplier tubes (dynamic electron-multiplier tubes H01J25/76)	H01J	H01
H01J29/89	. . Optical or photographic arrangements structurally combined {or co-operating} with the vessel {(H01J29/866 and H01J29/868 take precedence)}	H01J	H01
H04L27/30	. . wherein each code element is represented by a combination of frequencies	H04L	H04
H03F2203/45141	. . A cross coupled pair of transistors being added in the input circuit of a differential amplifier	H03F	H03
H01H75/10	. having only electromagnetic release	H01H	H01
H01C10/02	. Liquid resistors	H01C	H01
H04L12/08	. . Allotting numbers to messages; Counting characters, words or messages	H04L	H04
H04M3/16	. with lock-out or secrecy provision in party-line systems	H04M	H04
H04M1/70	. . Lock-out or secrecy arrangements in party-line systems	H04M	H04
H01H2203/036	. to solve particular problems	H01H	H01
H01J9/39	. . Degassing vessels	H01J	H01
H04H60/78	. . characterised by source locations or destination locations	H04H	H04
H02P27/024	. . using AC supply for only the rotor circuit or only the stator circuit	H02P	H02
H04Q2213/095	. User access; PIN code	H04Q	H04
H02P13/10	. by moving core, coil winding, or shield, e.g. by induction regulator	H02P	H02
H03F2200/241	. A parallel resonance being added in shunt in the input circuit, e.g. base, gate, of an amplifier stage	H03F	H03
H04M2215/2046	. . Hybrid network	H04M	H04
H01S2301/16	. Semiconductor lasers with special structural design to influence the modes, e.g. specific multimode	H01S	H01
H01L2924/06	. Polymers (polymers per se C08; polymer adhesives C09J)	H01L	H01
H03F2203/7233	. . the gated amplifier, switched on or off by putting into parallel or not, by choosing between amplifiers by one or more switch(es), being impedance adapted by switching an adapted passive network	H03F	H03
H01H2300/044	. Application rejection 1: coded interacting surfaces, polarising, e.g. to avoid insertion of a circuit breaker or fuse or relay or rating plug of the wrong caliber or in the wrong direction	H01H	H01
H04B1/64	. . Volume compression or expansion arrangements	H04B	H04
H01H2223/046	. convertible	H01H	H01
H01H2223/048	. . assembled by removable part	H01H	H01
H01R39/34	. . Connections of conductor to slip-ring	H01R	H01
H04M2201/06	. Integrated circuits	H04M	H04
H03M11/22	. Static coding (H03M11/26 takes precedence)	H03M	H03
H01L2224/93	. Batch processes	H01L	H01
H03K21/12	. . with parallel read-out	H03K	H03
H01H29/04	. . Contacts; Containers for liquid contacts	H01H	H01
H04W99/00	Subject matter not provided for in other groups of this subclass	H04W	H04
H05K2203/0445	. . Removing excess solder on pads; removing solder bridges, e.g. for repairing or reworking	H05K	H05
H01J2211/00	Plasma display panels with alternate current induction of the discharge, e.g. AC-PDPs (plasma display panels making use of direct current H01J2217/00)	H01J	H01
H04L17/02	. Apparatus or circuits at the transmitting end	H04L	H04
H05K2203/304	. . Protecting a component during manufacturing	H05K	H05
H01H85/25	. . Safety arrangements preventing or inhibiting contact with live parts, including operation of isolation on removal of cover	H01H	H01
H05B31/04	. . Housings	H05B	H05
H03F11/00	Dielectric amplifiers	H03F	H03
H01H2227/004	. . Membrane	H01H	H01
H04M2203/655	. . Combination of telephone service and social networking (messaging within social networks H04L51/32)	H04M	H04
H02P9/38	. . Self-excitation by current derived from rectification of both output voltage and output current of generator	H02P	H02
H04N9/475	. . for mutually locking different synchronisation sources	H04N	H04
H01P1/28	. . Short-circuiting plungers	H01P	H01
H01R13/595	. . Bolts operating in a direction transverse to the cable or wire	H01R	H01
H04M2203/1016	. . Telecontrol	H04M	H04
H01L2924/1015	. . Shape	H01L	H01
H02M1/20	. Contact mechanisms of dynamic converters	H02M	H02
H04J2203/0062	. . Testing	H04J	H04
H02K2201/00	Specific aspects not provided for in the other groups of this subclass relating to the magnetic circuits	H02K	H02
H01H67/04	. . having wipers movable only in one direction for purpose of selection	H01H	H01
H01H2207/014	. . Plated through holes	H01H	H01
H04M2203/158	. . Call-type dependent routing (route determination based on the nature of the carried application in packet switching networks H04L45/306)	H04M	H04
H04N3/28	. . producing multiple scanning, i.e. using more than one spot at the same time	H04N	H04
H01H2215/022	. . Asymmetric; Elliptic; Square	H01H	H01
H04B2215/064	. Reduction of clock or synthesizer reference frequency harmonics	H04B	H04
H01H2209/02	. UV or light sensitive	H01H	H01
H01H89/02	. Combination of a key operated switch with a manually operated switch, e.g. ignition and lighting switches	H01H	H01
H04H60/61	. Arrangements for services using the result of monitoring, identification or recognition covered by groups H04H60/29-H04H60/54	H04H	H04
H02N2/08	. . using travelling waves {, i.e. Rayleigh surface waves}	H02N	H02
H02P8/16	. . Reducing energy dissipated or supplied	H02P	H02
H01L2224/50	. . Tape automated bonding [TAB] connectors, i.e. film carriers; Manufacturing methods related thereto	H01L	H01
H01H2300/056	. Tools for actuating a switch	H01H	H01
H03K3/021	. . by the use, as active elements, of more than one type of element or means, e.g. BIMOS, composite devices such as IGBT	H03K	H03
H05K2201/073	. . High voltage adaptations (overvoltage protection H05K1/0257)	H05K	H05
H04R9/10	. Telephone receivers	H04R	H04
H03G11/02	. by means of diodes ({H03G11/008, } H03G11/04, H03G11/06, H03G11/08 take precedence)	H03G	H03
H04Q2213/13098	. Mobile subscriber	H04Q	H04
H04Q2213/13103	. Memory	H04Q	H04
H04Q2213/1337	. Operator, emergency services	H04Q	H04
H03J1/06	. Driving or adjusting arrangements; combined with other driving or adjusting arrangements, e.g. of gain control	H03J	H03
H01J2201/32	. Secondary emission electrodes	H01J	H01
H03F2200/516	. Some amplifier stages of an amplifier use supply voltages of different value	H03F	H03
H01C17/232	. . Adjusting the temperature coefficient; Adjusting value of resistance by adjusting temperature coefficient of resistance	H01C	H01
H01H2215/014	. . Avoiding permanent dome inversion	H01H	H01
H04Q2213/13196	. Connection circuit/link/trunk/junction, bridge, router, gateway	H04Q	H04
H01J3/40	. Traps for removing or diverting unwanted particles, e.g. negative ions, fringing electrons; Arrangements for velocity or mass selection {(see provisionally also H01J29/46 - H01J29/84)}	H01J	H01
H01J2201/02	. Arrangements for eliminating deleterious effects	H01J	H01
H04M2203/251	. . where a voice mode or a visual mode can be used interchangeably	H04M	H04
H01G5/019	. . Means for correcting the capacitance characteristics	H01G	H01
H04H2201/30	. characterised by the use of a return channel, e.g. for collecting users opinions, for returning broadcast space/time information or for requesting data	H04H	H04
H01R43/033	. for wrapping or unwrapping wire connections	H01R	H01
H04H60/64	. . for providing detail information	H04H	H04
H04Q9/06	. Calling by using amplitude or polarity of dc	H04Q	H04
H03H11/46	. One-port networks	H03H	H03
H04N5/78	. . using magnetic recording (H04N5/91 takes precedence {; mechanical details in so far as non typical for television circuitry G11B 5/00})	H04N	H04
H05K2203/1415	. . Applying catalyst after applying plating resist	H05K	H05
H01H2215/044	. Light	H01H	H01
H03F2203/45541	. . the IC comprising dynamic biasing means, i.e. controlled by the input signal	H03F	H03
H01J9/36	. . Joining connectors to internal electrode system	H01J	H01
H04R2227/00	Details of public address [PA] systems covered by H04R27/00 but not provided for in any of its subgroups	H04R	H04
H02H7/097	. . against wrong direction of rotation	H02H	H02
H03K9/06	. of frequency- or rate-modulated pulses	H03K	H03
H01H73/48	. having both electrothermal and electromagnetic automatic release (cartridge type H01H73/66)	H01H	H01
H04Q1/54	. . Amplifier switched-on automatically in dependence on automatically-selected lines	H04Q	H04
H04R1/16	. Mounting or connecting stylus to transducer with or without damping means	H04R	H04
H01S2304/12	. Pendeo epitaxial lateral overgrowth [ELOG], e.g. for growing GaN based blue laser diodes	H01S	H01
H04Q2213/13036	. Serial/parallel conversion, parallel bit transmission	H04Q	H04
H01H5/14	. . by twisting of torsion members	H01H	H01
H01H2211/004	. Adhesive	H01H	H01
H01R33/955	. . with switch operated manually and independent of engagement or disengagement of coupling	H01R	H01
H04M2201/405	. . involving speaker-dependent recognition (adaptation to speaker for speech recognition G10L 15/07)	H04M	H04
H01J37/27	. . Shadow microscopy	H01J	H01
H01H2233/064	. . Riveting	H01H	H01
H01J17/16	. . Vessels; Containers	H01J	H01
H01H19/56	. . Angularly-movable actuating part carrying contacts, e.g. drum switch	H01H	H01
H03D1/04	. . Modifications of demodulators to reduce interference by undesired signals	H03D	H03
H04M2203/553	. . Data upload	H04M	H04
H01H2233/09	. Actuating striker on actuator part	H01H	H01
H04N2201/0015	. . Control of image communication with the connected apparatus, e.g. signalling capability	H04N	H04
H01H2203/028	. embedded in layer material	H01H	H01
H01H2205/022	. . Conductive rubber	H01H	H01
H01J2201/28	. Heaters for thermionic cathodes	H01J	H01
H01H2209/068	. Properties of the membrane	H01H	H01
H01H2229/024	. Packing between substrate and membrane	H01H	H01
H04J13/22	. . Allocation of codes with a zero correlation zone	H04J	H04
H03B9/12	. using solid state devices, e.g. Gunn-effect devices	H03B	H03
H02K11/042	. . Rectifiers associated with rotating parts, e.g. rotor cores or rotary shafts	H02K	H02
H01H2209/002	. Materials	H01H	H01
H01H2239/012	. . Decoding impedances	H01H	H01
H01H2223/012	. . Snap mounting	H01H	H01
H04M2215/7886	. . Apply cheapest or best package, e.g. selection among available tariffs or packages (least cost routing H04M2215/42)	H04M	H04
H01H2229/032	. . Screw	H01H	H01
H02K23/52	. Motors acting also as generators, e.g. starting motors used as generators for ignition or lighting	H02K	H02
H03B7/12	. with frequency-determining element comprising distributed inductance and capacitance	H03B	H03
H01B13/12	. . by applying loose fibres	H01B	H01
H03F2203/45492	. . the CSC being a pi circuit and the resistor being implemented by one or more controlled transistors	H03F	H03
H01H2231/028	. Watch	H01H	H01
H01J5/20	. Seals between parts of vessels	H01J	H01
H03J2200/28	. Automatic self-alignment of a receiver	H03J	H03
H03B21/04	. . using several similar stages	H03B	H03
H03B1/04	. Reducing undesired oscillations, e.g. harmonics	H03B	H03
H03J3/26	. . the circuits being coupled so as to form a bandpass filter	H03J	H03
H04M2215/42	. Least cost routing, i.e. provision for selecting the lowest cost tariff	H04M	H04
H03B5/40	. . being a magnetostrictive resonator (H03B5/42 takes precedence; selection of magneto-strictive material {H01F1/00} ; H01L41/00)	H03B	H03
H04N2213/006	. Pseudo-stereoscopic systems, i.e. systems wherein a stereoscopic effect is obtained without sending different images to the viewers eyes	H04N	H04
H04M2203/654	. . Pre, in or post-call message	H04M	H04
H04L2209/68	. Special signature format, e.g. XML format	H04L	H04
H05K2201/0776	. . Resistance and impedance	H05K	H05
H04M2215/7806	. . Time based	H04M	H04
H04R2205/00	Details of stereophonic arrangements covered by H04R5/00 but not provided for in any of its subgroups	H04R	H04
H04M2215/8104	. . Time or frequency of notification	H04M	H04
H04M2215/0116	. . Provision for limiting expenditure, e.g. limit on call expenses or account	H04M	H04
H01H2300/024	. Avoid unwanted operation	H01H	H01
H03L7/02	. using a frequency discriminator comprising a passive frequency-determining element	H03L	H03
H01S2301/166	. . Single transverse or lateral mode	H01S	H01
H04M2203/25	. related to user interface aspects of the telephonic communication service	H04M	H04
H04M2203/2066	. . Call type detection of indication, e.g. voice or fax, mobile of fixed, PSTN or IP	H04M	H04
H01H5/00	Snap-action arrangements, i.e. in which during a single opening operation or a single closing operation energy is first stored and then released to produce or assist the contact movement	H01H	H01
H01J5/16	. . Optical or photographic arrangements structurally combined with the vessel	H01J	H01
H04M2215/2033	. . WLAN	H04M	H04
H04M2215/204	. . UMTS; GPRS	H04M	H04
H02K19/04	. . for single-phase current	H02K	H02
H04M2215/01	. Details of billing arrangements	H04M	H04
H03F2203/45701	. . the LC comprising one resistor	H03F	H03
H03F2203/45468	. . the CSC comprising a cross coupling circuit, e.g. comprising two cross-coupled transistors	H03F	H03
H05K2201/0203	. . Fillers and particles	H05K	H05
H01H2229/03	. . Laminating	H01H	H01
H01H2239/078	. Variable resistance by variable contact area or point	H01H	H01
H01H2219/034	. . Coloured areas	H01H	H01
H04M2201/22	. Synchronisation circuits	H04M	H04
H04N2201/0013	. . Arrangements for the control of the connected apparatus by the still picture apparatus (arrangements for the control of a still picture apparatus by the connected apparatus H04N2201/0074; control of image communication with the connected apparatus H04N2201/0015)	H04N	H04
H04M2203/554	. . Data synchronization	H04M	H04
H01H2203/054	. . for redundancy, e.g. several contact pairs in parallel	H01H	H01
H03H2210/026	. . Inductor	H03H	H03
H04M2215/7009	. . Account settings, e.g. users, terminals, limits, numbers or payment	H04M	H04
H04M2215/0188	. . Network monitoring; statistics on usage on called/calling number	H04M	H04
H01J2211/46	. . Connecting or feeding means, e.g. leading-in conductors	H01J	H01
H01J2211/48	. . Sealing, e.g. seals specially adapted for leading-in conductors	H01J	H01
